Filename	CLSOx100_6
Instrument name	5500-0018 (192.168.1.3)
Operator	mp933
rundate	10/25/2022
Sample name	CLSOx100_6
proceduresegments	Select Gas: Gas 2 ; Mass Flow  25.00 mL/min; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 100.00 °C/min to 950.00 °C; Isothermal 10.0 min; Data Off ; Equilibrate 40.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight
min	°C	%	mg
0.003	35.69	96.6797	5.9011
0.012	35.67	95.3055	5.8173
0.020	35.65	95.2399	5.8133
0.028	35.63	95.2282	5.8125
0.037	35.62	95.1905	5.8102
0.045	35.60	95.2530	5.8141
0.053	35.58	95.2387	5.8132
0.062	35.56	95.1915	5.8103
0.070	35.55	95.2306	5.8127
0.078	35.53	95.2254	5.8124
0.087	35.52	95.1813	5.8097
0.095	35.50	95.2263	5.8124
0.103	35.48	95.2135	5.8116
0.112	35.47	95.1938	5.8104
0.120	35.45	95.2401	5.8133
0.128	35.44	95.2283	5.8126
0.137	35.42	95.2151	5.8117
0.145	35.41	95.2546	5.8142
0.153	35.39	95.2279	5.8125
0.162	35.38	95.1983	5.8107
0.170	35.36	95.2200	5.8120
0.178	35.35	95.2159	5.8118
0.187	35.34	95.2150	5.8117
0.195	35.32	95.2171	5.8119
0.203	35.31	95.2156	5.8118
0.212	35.30	95.2077	5.8113
0.220	35.28	95.2009	5.8109
0.228	35.27	95.1962	5.8106
0.237	35.26	95.1913	5.8103
0.245	35.25	95.1883	5.8101
0.253	35.24	95.1861	5.8100
0.262	35.23	95.1823	5.8097
0.270	35.22	95.1795	5.8096
0.278	35.21	95.1772	5.8094
0.287	35.20	95.1747	5.8093
0.295	35.19	95.1723	5.8091
0.303	35.19	95.1706	5.8090
0.312	35.19	95.1681	5.8089
0.320	35.18	95.1657	5.8087
0.328	35.18	95.1642	5.8086
0.337	35.18	95.1617	5.8085
0.345	35.18	95.1589	5.8083
0.353	35.19	95.1574	5.8082
0.362	35.20	95.1550	5.8081
0.370	35.20	95.1514	5.8079
0.378	35.22	95.1491	5.8077
0.387	35.23	95.1470	5.8076
0.395	35.25	95.1428	5.8073
0.403	35.27	95.1401	5.8072
0.412	35.29	95.1381	5.8070
0.420	35.32	95.1358	5.8069
0.428	35.35	95.1338	5.8068
0.437	35.38	95.1322	5.8067
0.445	35.42	95.1301	5.8066
0.453	35.46	95.1281	5.8064
0.462	35.50	95.1264	5.8063
0.470	35.55	95.1242	5.8062
0.478	35.59	95.1217	5.8060
0.487	35.64	95.1195	5.8059
0.495	35.70	95.1169	5.8057
0.503	35.75	95.1142	5.8056
0.512	35.81	95.1118	5.8054
0.520	35.87	95.1089	5.8053
0.528	35.93	95.1054	5.8050
0.537	36.00	95.1026	5.8049
0.545	36.07	95.0996	5.8047
0.553	36.13	95.0950	5.8044
0.562	36.20	95.0916	5.8042
0.570	36.27	95.0882	5.8040
0.578	36.35	95.0846	5.8038
0.587	36.42	95.0802	5.8035
0.595	36.49	95.0764	5.8033
0.603	36.57	95.0725	5.8030
0.612	36.65	95.0684	5.8028
0.620	36.72	95.0651	5.8026
0.628	36.80	95.0611	5.8023
0.637	36.88	95.0574	5.8021
0.645	36.96	95.0542	5.8019
0.653	37.04	95.0505	5.8017
0.662	37.12	95.0467	5.8015
0.670	37.20	95.0433	5.8013
0.678	37.28	95.0397	5.8010
0.687	37.36	95.0358	5.8008
0.695	37.44	95.0321	5.8006
0.703	37.52	95.0283	5.8003
0.712	37.61	95.0242	5.8001
0.720	37.69	95.0205	5.7999
0.728	37.77	95.0167	5.7996
0.737	37.85	95.0124	5.7994
0.745	37.93	95.0087	5.7991
0.753	38.01	95.0048	5.7989
0.762	38.09	95.0007	5.7987
0.770	38.17	94.9967	5.7984
0.778	38.26	94.9929	5.7982
0.787	38.34	94.9888	5.7979
0.795	38.42	94.9847	5.7977
0.803	38.50	94.9810	5.7975
0.812	38.58	94.9768	5.7972
0.820	38.66	94.9725	5.7969
0.828	38.74	94.9687	5.7967
0.837	38.82	94.9646	5.7965
0.845	38.90	94.9605	5.7962
0.853	38.98	94.9566	5.7960
0.862	39.07	94.9526	5.7957
0.870	39.15	94.9483	5.7955
0.878	39.23	94.9444	5.7952
0.887	39.31	94.9404	5.7950
0.895	39.39	94.9362	5.7947
0.903	39.47	94.9323	5.7945
0.912	39.55	94.9283	5.7942
0.920	39.64	94.9241	5.7940
0.928	39.72	94.9201	5.7937
0.937	39.80	94.9161	5.7935
0.945	39.88	94.9119	5.7932
0.953	39.96	94.9078	5.7930
0.962	40.05	94.9039	5.7927
0.970	40.13	94.8997	5.7925
0.978	40.21	94.8955	5.7922
0.987	40.30	94.8915	5.7920
0.995	40.38	94.8874	5.7917
1.003	40.46	94.8831	5.7915
1.012	40.55	94.8790	5.7912
1.020	40.63	94.8750	5.7910
1.028	40.71	94.8707	5.7907
1.037	40.80	94.8667	5.7905
1.045	40.88	94.8628	5.7902
1.053	40.97	94.8586	5.7900
1.062	41.05	94.8544	5.7897
1.070	41.14	94.8502	5.7895
1.078	41.22	94.8459	5.7892
1.087	41.31	94.8419	5.7890
1.095	41.39	94.8377	5.7887
1.103	41.48	94.8333	5.7884
1.112	41.56	94.8291	5.7882
1.120	41.65	94.8249	5.7879
1.128	41.74	94.8206	5.7877
1.137	41.82	94.8164	5.7874
1.145	41.91	94.8123	5.7872
1.153	41.99	94.8079	5.7869
1.162	42.08	94.8034	5.7866
1.170	42.16	94.7993	5.7864
1.178	42.25	94.7950	5.7861
1.187	42.33	94.7906	5.7858
1.195	42.42	94.7865	5.7856
1.203	42.51	94.7823	5.7853
1.212	42.59	94.7779	5.7851
1.220	42.68	94.7736	5.7848
1.228	42.76	94.7694	5.7845
1.237	42.85	94.7649	5.7843
1.245	42.93	94.7606	5.7840
1.253	43.02	94.7564	5.7837
1.262	43.10	94.7521	5.7835
1.270	43.19	94.7477	5.7832
1.278	43.27	94.7435	5.7830
1.287	43.36	94.7392	5.7827
1.295	43.44	94.7348	5.7824
1.303	43.53	94.7305	5.7822
1.312	43.61	94.7260	5.7819
1.320	43.70	94.7215	5.7816
1.328	43.78	94.7173	5.7814
1.337	43.87	94.7129	5.7811
1.345	43.95	94.7086	5.7808
1.353	44.04	94.7043	5.7806
1.362	44.12	94.6999	5.7803
1.370	44.21	94.6953	5.7800
1.378	44.29	94.6910	5.7798
1.387	44.38	94.6866	5.7795
1.395	44.46	94.6821	5.7792
1.403	44.55	94.6777	5.7789
1.412	44.63	94.6736	5.7787
1.420	44.72	94.6691	5.7784
1.428	44.80	94.6645	5.7781
1.437	44.89	94.6603	5.7779
1.445	44.97	94.6559	5.7776
1.453	45.06	94.6514	5.7773
1.462	45.14	94.6470	5.7771
1.470	45.23	94.6427	5.7768
1.478	45.31	94.6383	5.7765
1.487	45.40	94.6339	5.7763
1.495	45.48	94.6293	5.7760
1.503	45.57	94.6248	5.7757
1.512	45.65	94.6203	5.7754
1.520	45.74	94.6158	5.7752
1.528	45.83	94.6114	5.7749
1.537	45.91	94.6072	5.7746
1.545	46.00	94.6029	5.7744
