##Temp./>C,Time/min,Mass/%,Segment
 48.02800,  1.39000, 99.61905,1
 48.07600,  1.40000, 99.61905,1
 48.11600,  1.41000, 99.61905,1
 48.17000,  1.42000, 99.60000,1
 48.21900,  1.43000, 99.60952,1
 48.26400,  1.44000, 99.61905,1
 48.31700,  1.45000, 99.61905,1
 48.36500,  1.46000, 99.60000,1
 48.41400,  1.47000, 99.60952,1
 48.44900,  1.48000, 99.60952,1
 48.51100,  1.49000, 99.60000,1
 48.54300,  1.50000, 99.61905,1
 48.58800,  1.51000, 99.60952,1
 48.63300,  1.52000, 99.60000,1
 48.68300,  1.53000, 99.60000,1
 48.73700,  1.54000, 99.60000,1
 48.75200,  1.55000, 99.60000,1
 48.81400,  1.56000, 99.60952,1
 48.84500,  1.57000, 99.60952,1
 48.90000,  1.58000, 99.60000,1
 48.93100,  1.59000, 99.59048,1
 48.99500,  1.60000, 99.60000,1
 49.04000,  1.61000, 99.59048,1
 49.06400,  1.62000, 99.59048,1
 49.12700,  1.63000, 99.59048,1
 49.14800,  1.64000, 99.59048,1
 49.19900,  1.65000, 99.59048,1
 49.24000,  1.66000, 99.59048,1
 49.27300,  1.67000, 99.59048,1
 49.32200,  1.68000, 99.59048,1
 49.35300,  1.69000, 99.57143,1
 49.39400,  1.70000, 99.57143,1
 49.44600,  1.71000, 99.58095,1
 49.47900,  1.72000, 99.58095,1
 49.52500,  1.73000, 99.58095,1
 49.55100,  1.74000, 99.58095,1
 49.58700,  1.75000, 99.58095,1
 49.63800,  1.76000, 99.58095,1
 49.67600,  1.77000, 99.56190,1
 49.70300,  1.78000, 99.57143,1
 49.75800,  1.79000, 99.57143,1
 49.78700,  1.80000, 99.55238,1
 49.82000,  1.81000, 99.56190,1
 49.85600,  1.82000, 99.55238,1
 49.89600,  1.83000, 99.54286,1
 49.93100,  1.84000, 99.54286,1
 49.96900,  1.85000, 99.54286,1
 50.01400,  1.86000, 99.54286,1
 50.04300,  1.87000, 99.54286,1
 50.07600,  1.88000, 99.55238,1
 50.12300,  1.89000, 99.55238,1
 50.15200,  1.90000, 99.54286,1
 50.19600,  1.91000, 99.54286,1
